text
"[club194944166|Роскомнадзор] получил фактический контроль над всем российским интернетом — принято постановление, которое наделяет ведомство правом управлять Рунетом в ручном режиме  Теперь РКН сможет:  — отдавать обязательные для операторов и провайдеров команды — включая блокировки сайтов и сервисов; — перенаправлять интернет-трафик через собственные технические центры; — самостоятельно менять маршруты передачи данных; — включать фильтры, блокировки и системы защиты по своему усмотрению; — в случае угрозы — полностью брать управление сетью под контроль.  Официально документ объясняют ""необходимостью обеспечить устойчивость и безопасность Рунета"", однако эксперты отмечают, что на практике Роскомнадзор превращается в единый центр контроля российского интернета — с возможностью ограничивать доступ к любым ресурсам и при необходимости изолировать страну от глобальной сети.  Новые правила вступят в силу 1 марта 2026 года."
"[club194944166|Путин] поздравил личный состав, гражданский персонал и ветеранов МВД с Днем сотрудника органов внутренних дел  ""Сегодня мы чествуем тех людей, которые выбрали для себя ответственную и трудную службу. Кто честно, порой с риском для жизни выполняет свой служебный и гражданский долг, бескомпромиссно борется с преступностью, насилием, произволом.  Кто и в этот праздничный день несёт службу на своём рабочем месте – на дежурстве, в усилении, на посту, охраняет покой и безопасность наших граждан"" — отметил президент России в обращении."
[club194944166|Паром Seabridge], пять дней простоявший у берегов Сочи, теперь не могут принять и в Турции  Турецких граждан уже отпустили на берег, а россияне остаются на борту — из-за закрытой таможни им придётся провести на судне как минимум ещё одну ночь.
"[club194944166|США] перестанут выдавать визы иностранцам с ожирением  Администрация Трампа утвердила распоряжение, разрешающее отказывать в визах и иммиграции людям с заболеваниями, которые могут сделать их ""общественной обузой"" и потребовать значительных расходов на лечение.  В этот перечень вошли иностранцы, страдающие ожирением, диабетом, онкологическими и сердечно-сосудистыми заболеваниями."
[club194944166|150-килограммовый сотрудник] московской фирмы похитил 135 миллионов рублей из сейфа компании  52-летний мужчина имел свободный доступ в офис и ключи от сейфа, принадлежащего гендиректору. Воспользовавшись этим, он вскрыл хранилище и скрылся на автомобиле в другой регион.  Злоумышленника задержали во Владимире, деньги изъяты. Возбуждено уголовное дело, мужчине грозит до 10 лет лишения свободы.
"[club194944166|Трамп] пообещал выплатить каждому американцу, кроме самых богатых, не менее $2000 (162 тыс. рублей) из доходов, полученных от пошлин  Об этом президент США написал в своей соцсети Truth Social: ""Те, кто выступает против тарифов, — просто дураки! Сейчас мы — самая богатая и уважаемая страна в мире, с минимальной инфляцией.   Мы зарабатываем триллионы долларов и вскоре начнём погашать наш огромный долг в $37 триллионов. Каждый американец, кроме самых обеспеченных, получит не менее $2000 дивиденда"""
В российских школах уроки первой помощи могут поручить проводить [club194944166|участникам СВО]  В Госдуме предложили, чтобы основы спасения жизни школьникам преподавали те, кто имеет реальный боевой опыт. По мнению депутатов, владение навыками первой помощи должно стать таким же обязательным, как умение писать.  Запуск проекта намечен на 2026 год, а обучение планируют сделать непрерывным — от школы до университета.
"В Китае представили [club194944166|беспилотное электрическое аэротакси]  Аппарату не требуется взлётно-посадочная полоса — он использует специальные площадки-""вертипорты"" для взлёта и посадки.   По данным RT, десятиминутная поездка на таком такси будет стоить около $8,5 (≈687 рублей)."
"[club194944166|Алла Пугачева] дала совет молодежи с высоты прожитых лет   ""Никогда не слушайте советов, молодежь! Действуйте так как вы хотите, идите в то направление, которое вы хотите, не слушайте никого, делайте свое дело, вот вам мой совет!"" — заявила народная артистка СССР."
"Полиция задержала [club194944166|группу экоактивистов], которые записывали видеообращение к Путину с просьбой остановить строительство дороги через национальный парк ""Лосиный остров""  Жители Москвы собрались на территории Акуловского водоканала, чтобы выразить протест против прокладки трассы на особо охраняемой природной зоне."
